record_id,customer_id,old_plan,new_plan,change_date,change_reason,payment_status,amount_charged,payment_method
REC_00053,CUST_0036,FREE,BASIC,2021-01-12,UPGRADE,PAID,7.99,PAYPAL
REC_00054,CUST_0036,BASIC,BASIC,2021-10-27,REACTIVATE,PAID,7.99,BANK_TRANSFER
REC_00055,CUST_0036,BASIC,FREE,2022-11-07,DOWNGRADE,PAID,0.0,
REC_00056,CUST_0037,,STANDARD,2024-10-03,NEW,PAID,17.99,BANK_TRANSFER
REC_00057,CUST_0037,STANDARD,STANDARD,2024-12-16,REACTIVATE,PAID,13.99,BANK_TRANSFER
REC_00058,CUST_0038,,BASIC,2023-10-29,NEW,PAID,7.99,CARD
REC_00059,CUST_0039,,STANDARD,2023-08-10,NEW,FAILED,13.99,PAYPAL
REC_00060,CUST_0039,,STANDARD,2023-08-17,NEW,PAID,13.99,PAYPAL
REC_00061,CUST_0039,STANDARD,BASIC,2024-06-01,DOWNGRADE,FAILED,7.99,BANK_TRANSFER
REC_00062,CUST_0039,STANDARD,BASIC,2024-06-08,DOWNGRADE,PAID,7.99,BANK_TRANSFER
REC_00063,CUST_0040,,FREE,2021-12-31,NEW,PAID,0.0,
REC_00064,CUST_0040,FREE,FREE,2022-09-13,CANCEL,PAID,0.0,
REC_00065,CUST_0041,,BASIC,2022-01-23,NEW,PAID,7.99,BANK_TRANSFER
REC_00066,CUST_0041,BASIC,BASIC,2022-11-20,REACTIVATE,PAID,7.99,BANK_TRANSFER
REC_00067,CUST_0042,,BASIC,2023-06-15,NEW,PAID,7.99,BANK_TRANSFER
REC_00068,CUST_0042,BASIC,BASIC,2023-09-22,REACTIVATE,PAID,7.99,BANK_TRANSFER
REC_00069,CUST_0042,BASIC,BASIC,2023-12-18,REACTIVATE,PAID,7.99,PAYPAL
REC_00070,CUST_0043,,PREMIUM,2022-12-02,NEW,PAID,17.99,PAYPAL
REC_00071,CUST_0043,PREMIUM,STANDARD,2023-07-15,DOWNGRADE,PAID,7.99,BANK_TRANSFER
REC_00072,CUST_0044,,STANDARD,2022-12-12,NEW,PAID,13.99,CARD
REC_00073,CUST_0045,,BASIC,2020-10-12,NEW,PAID,7.99,PAYPAL
REC_00074,CUST_0045,BASIC,STANDARD,2021-05-19,UPGRADE,PAID,13.99,CARD
REC_00075,CUST_0046,,STANDARD,2022-09-07,NEW,PAID,13.99,PAYPAL
REC_00076,CUST_0046,STANDARD,BASIC,2023-02-10,DOWNGRADE,PAID,17.99,CARD
REC_00077,CUST_0047,,FREE,2021-01-10,NEW,PAID,0.0,
REC_00078,CUST_0047,FREE,BASIC,2021-08-02,,PAID,7.99,BANK_TRANSFER
REC_00079,CUST_0048,,STANDARD,2023-03-01,NEW,PAID,13.99,PAYPAL
REC_00080,CUST_0049,,PREMIUM,2020-07-22,NEW,PAID,17.99,CARD
REC_00081,CUST_0049,PREMIUM,FREE,2021-05-05,CANCEL,PAID,0.0,
REC_00082,CUST_0050,,BASIC,2019-12-17,,PAID,7.99,BANK_TRANSFER
REC_00083,CUST_0050,BASIC,BASIC,2020-02-23,REACTIVATE,PAID,7.99,BANK_TRANSFER
REC_00084,CUST_0051,,BASIC,2021-01-16,,PAID,7.99,PAYPAL
REC_00085,CUST_0051,BASIC,STANDARD,2021-05-12,UPGRADE,PAID,13.99,CARD
REC_00086,CUST_0052,,BASIC,2024-07-30,NEW,PAID,7.99,PAYPAL
REC_00087,CUST_0052,BASIC,STANDARD,2024-10-03,UPGRADE,PAID,13.99,BANK_TRANSFER
REC_00088,CUST_0053,,PREMIUM,2020-08-07,NEW,PAID,17.99,PAYPAL
REC_00089,CUST_0053,PREMIUM,PREMIUM,2021-02-01,REACTIVATE,PAID,0.0,CARD
REC_00090,CUST_0053,PREMIUM,STANDARD,2022-02-21,DOWNGRADE,PAID,13.99,CARD
REC_00091,CUST_0053,STANDARD,PREMIUM,2022-12-29,UPGRADE,PAID,17.99,BANK_TRANSFER
REC_00092,CUST_0054,,BASIC,2022-03-15,NEW,PAID,7.99,BANK_TRANSFER
REC_00093,CUST_0055,,BASIC,2023-01-18,NEW,PAID,7.99,BANK_TRANSFER
REC_00094,CUST_0055,BASIC,FREE,2023-11-03,DOWNGRADE,PAID,0.0,
REC_00095,CUST_0056,,FREE,2021-07-12,NEW,PAID,0.0,
REC_00096,CUST_0057,,STANDARD,2024-08-01,NEW,PAID,13.99,PAYPAL
REC_00097,CUST_0058,,BASIC,2023-09-09,,PAID,7.99,PAYPAL
REC_00098,CUST_0058,BASIC,STANDARD,2024-01-11,UPGRADE,PAID,13.99,BANK_TRANSFER
REC_00099,CUST_0058,STANDARD,STANDARD,2024-07-16,REACTIVATE,PAID,13.99,BANK_TRANSFER
REC_00100,CUST_0059,,BASIC,2021-12-19,NEW,PAID,7.99,BANK_TRANSFER
REC_00101,CUST_0059,BASIC,BASIC,2022-04-19,REACTIVATE,PAID,7.99,BANK_TRANSFER
REC_00102,CUST_0060,,BASIC,2020-09-02,NEW,PAID,7.99,PAYPAL
REC_00103,CUST_0060,BASIC,BASIC,2021-08-18,REACTIVATE,PAID,7.99,BANK_TRANSFER
REC_00104,CUST_0061,,STANDARD,2021-07-21,NEW,PAID,13.99,CARD
REC_00105,CUST_0062,,BASIC,2020-12-10,NEW,FAILED,7.99,PAYPAL
REC_00106,CUST_0062,,BASIC,2020-12-17,NEW,PAID,7.99,PAYPAL
REC_00107,CUST_0063,,STANDARD,2023-06-05,NEW,PAID,13.99,PAYPAL
REC_00108,CUST_0063,STANDARD,PREMIUM,2024-02-06,UPGRADE,PAID,17.99,PAYPAL
REC_00109,CUST_0064,,BASIC,2020-07-17,NEW,PAID,7.99,BANK_TRANSFER
REC_00110,CUST_0065,,PREMIUM,2022-10-04,NEW,PAID,17.99,BANK_TRANSFER
REC_00111,CUST_0065,PREMIUM,FREE,2023-02-15,CANCEL,PAID,0.0,
REC_00112,CUST_0065,FREE,BASIC,2023-10-19,UPGRADE,PAID,7.99,PAYPAL
REC_00113,CUST_0065,BASIC,STANDARD,2023-12-27,UPGRADE,PAID,13.99,PAYPAL
REC_00114,CUST_0066,,FREE,2021-12-04,NEW,PAID,0.0,
REC_00115,CUST_0067,,PREMIUM,2021-06-13,NEW,PAID,17.99,CARD
REC_00116,CUST_0067,PREMIUM,PREMIUM,2022-07-15,REACTIVATE,PAID,17.99,CARD
REC_00117,CUST_0068,,BASIC,2019-03-31,NEW,PAID,7.99,PAYPAL
REC_00118,CUST_0068,BASIC,BASIC,2019-07-27,REACTIVATE,PAID,7.99,CARD
REC_00119,CUST_0069,,STANDARD,2021-07-01,NEW,PAID,13.99,PAYPAL
REC_00120,CUST_0069,STANDARD,PREMIUM,2022-02-16,,PAID,17.99,CARD
REC_00121,CUST_0069,PREMIUM,PREMIUM,2022-11-07,REACTIVATE,PAID,17.99,PAYPAL
REC_00122,CUST_0069,PREMIUM,STANDARD,2023-10-27,DOWNGRADE,PAID,13.99,CARD
REC_00123,CUST_0070,,PREMIUM,2019-08-20,NEW,PAID,17.99,CARD
REC_00124,CUST_0071,,STANDARD,2024-04-23,NEW,PAID,13.99,BANK_TRANSFER
REC_00125,CUST_0072,,STANDARD,2021-06-07,NEW,PAID,13.99,BANK_TRANSFER
REC_00126,CUST_0073,,BASIC,2021-06-25,NEW,PAID,7.99,BANK_TRANSFER
REC_00127,CUST_0074,,BASIC,2021-08-05,NEW,PAID,7.99,CARD
REC_00128,CUST_0075,,FREE,2023-06-14,NEW,PAID,0.0,
REC_00129,CUST_0075,FREE,FREE,2024-04-01,REACTIVATE,PAID,0.0,
REC_00130,CUST_0076,,PREMIUM,2024-05-01,NEW,PAID,17.99,CARD
REC_00131,CUST_0077,,BASIC,2019-11-08,NEW,PAID,7.99,PAYPAL
REC_00132,CUST_0077,BASIC,STANDARD,2020-11-19,UPGRADE,FAILED,17.99,CARD
REC_00133,CUST_0077,BASIC,STANDARD,2020-11-26,UPGRADE,PAID,17.99,CARD
REC_00134,CUST_0077,STANDARD,PREMIUM,2021-07-10,UPGRADE,PAID,17.99,BANK_TRANSFER
REC_00135,CUST_0078,,BASIC,2020-01-10,NEW,PAID,7.99,CARD
REC_00136,CUST_0078,BASIC,FREE,2020-10-06,CANCEL,PAID,0.0,
REC_00137,CUST_0078,FREE,BASIC,2021-03-17,UPGRADE,PAID,7.99,CARD
REC_00138,CUST_0078,BASIC,BASIC,2021-05-29,REACTIVATE,PAID,7.99,CARD
REC_00139,CUST_0079,,FREE,2022-05-18,NEW,PAID,0.0,
REC_00140,CUST_0080,,PREMIUM,2020-07-11,NEW,PAID,17.99,PAYPAL
REC_00141,CUST_0080,PREMIUM,STANDARD,2020-12-02,DOWNGRADE,PAID,13.99,CARD
REC_00142,CUST_0080,STANDARD,STANDARD,2022-01-02,REACTIVATE,PAID,13.99,CARD
REC_00143,CUST_0081,,BASIC,2019-10-11,NEW,PAID,7.99,BANK_TRANSFER
REC_00144,CUST_0081,BASIC,BASIC,2020-10-26,REACTIVATE,PAID,7.99,CARD
REC_00145,CUST_0082,,BASIC,2022-09-20,NEW,PAID,7.99,CARD
REC_00146,CUST_0082,BASIC,FREE,2023-02-25,DOWNGRADE,PAID,0.0,
REC_00147,CUST_0083,,BASIC,2023-11-30,NEW,PAID,7.99,BANK_TRANSFER
REC_00148,CUST_0084,,STANDARD,2019-09-14,NEW,PAID,13.99,PAYPAL
REC_00149,CUST_0085,,BASIC,2020-07-18,NEW,PAID,7.99,BANK_TRANSFER
REC_00150,CUST_0085,BASIC,BASIC,2021-01-11,REACTIVATE,FAILED,7.99,CARD
REC_00151,CUST_0085,BASIC,BASIC,2021-01-18,REACTIVATE,PAID,7.99,CARD
REC_00152,CUST_0086,,FREE,2021-07-09,NEW,PAID,0.0,
REC_00153,CUST_0086,FREE,FREE,2022-06-21,REACTIVATE,PAID,0.0,
REC_00154,CUST_0086,FREE,FREE,2022-11-13,REACTIVATE,PAID,0.0,
REC_00155,CUST_0087,,STANDARD,2021-08-28,NEW,PAID,13.99,CARD
REC_00156,CUST_0088,,PREMIUM,2020-06-03,NEW,PAID,17.99,BANK_TRANSFER
REC_00157,CUST_0089,,BASIC,2019-09-17,NEW,PAID,7.99,CARD
REC_00158,CUST_0090,,FREE,2023-03-04,NEW,PAID,0.0,
REC_00159,CUST_0091,,PREMIUM,2020-08-08,NEW,PAID,17.99,CARD
REC_00160,CUST_0091,PREMIUM,PREMIUM,2021-07-09,REACTIVATE,PAID,17.99,PAYPAL
REC_00161,CUST_0092,,FREE,2022-05-20,,PAID,0.0,
REC_00162,CUST_0092,FREE,BASIC,2022-12-24,,PAID,7.99,PAYPAL
REC_00163,CUST_0093,,PREMIUM,2023-06-19,NEW,PAID,17.99,CARD
REC_00164,CUST_0093,PREMIUM,PREMIUM,2024-07-11,REACTIVATE,PAID,17.99,CARD
REC_00165,CUST_0094,,PREMIUM,2020-04-20,NEW,PAID,17.99,BANK_TRANSFER
REC_00166,CUST_0094,PREMIUM,PREMIUM,2021-04-15,REACTIVATE,PAID,17.99,BANK_TRANSFER
REC_00167,CUST_0094,PREMIUM,PREMIUM,2022-01-15,REACTIVATE,PAID,17.99,BANK_TRANSFER
REC_00168,CUST_0095,,STANDARD,2024-07-25,NEW,PAID,13.99,CARD
REC_00169,CUST_0096,,BASIC,2019-11-16,NEW,PAID,7.99,PAYPAL
REC_00170,CUST_0096,BASIC,BASIC,2020-08-04,REACTIVATE,PAID,7.99,BANK_TRANSFER
REC_00171,CUST_0096,BASIC,STANDARD,2020-11-18,UPGRADE,PAID,13.99,BANK_TRANSFER
REC_00172,CUST_0096,STANDARD,PREMIUM,2021-05-25,UPGRADE,PAID,13.99,CARD
REC_00173,CUST_0097,,STANDARD,2024-07-13,NEW,PAID,13.99,BANK_TRANSFER
REC_00174,CUST_0098,,STANDARD,2023-03-06,NEW,PAID,13.99,BANK_TRANSFER
REC_00175,CUST_0098,STANDARD,PREMIUM,2023-06-22,UPGRADE,PAID,17.99,PAYPAL
REC_00176,CUST_0099,,BASIC,2021-04-30,NEW,PAID,7.99,BANK_TRANSFER
REC_00177,CUST_0099,BASIC,STANDARD,2021-07-05,UPGRADE,PAID,13.99,CARD
REC_00178,CUST_0099,STANDARD,PREMIUM,2022-07-15,UPGRADE,PAID,17.99,BANK_TRANSFER
REC_00179,CUST_0100,,FREE,2021-06-29,NEW,PAID,0.0,
REC_00180,CUST_0100,FREE,FREE,2021-09-24,CANCEL,PAID,0.0,
REC_00181,CUST_0100,FREE,BASIC,2022-07-11,UPGRADE,PAID,7.99,BANK_TRANSFER
REC_00182,CUST_0101,,FREE,2024-01-01,NEW,PAID,0.0,
REC_00183,CUST_0101,FREE,FREE,2024-11-12,REACTIVATE,PAID,0.0,
REC_00184,CUST_0102,,PREMIUM,2022-02-24,NEW,PAID,17.99,PAYPAL
REC_00185,CUST_0102,PREMIUM,STANDARD,2022-11-19,DOWNGRADE,PAID,13.99,CARD
REC_00186,CUST_0103,,STANDARD,2020-08-05,NEW,PAID,13.99,BANK_TRANSFER
REC_00187,CUST_0103,STANDARD,PREMIUM,2021-02-06,UPGRADE,PAID,17.99,BANK_TRANSFER
REC_00188,CUST_0103,PREMIUM,PREMIUM,2022-03-10,REACTIVATE,PAID,17.99,CARD
REC_00189,CUST_0103,PREMIUM,PREMIUM,2022-09-10,REACTIVATE,PAID,17.99,PAYPAL
REC_00190,CUST_0104,,BASIC,2020-02-18,NEW,PAID,7.99,BANK_TRANSFER
REC_00191,CUST_0104,BASIC,STANDARD,2020-04-30,UPGRADE,PAID,13.99,PAYPAL
REC_00192,CUST_0105,,PREMIUM,2021-06-23,NEW,PAID,17.99,BANK_TRANSFER
REC_00193,CUST_0106,,PREMIUM,2021-07-12,NEW,PAID,17.99,PAYPAL
REC_00194,CUST_0106,PREMIUM,PREMIUM,2022-02-07,REACTIVATE,PAID,17.99,PAYPAL
REC_00195,CUST_0107,,STANDARD,2022-02-27,NEW,PAID,13.99,CARD
REC_00196,CUST_0107,STANDARD,PREMIUM,2022-12-22,UPGRADE,PAID,17.99,BANK_TRANSFER
REC_00197,CUST_0107,PREMIUM,PREMIUM,2023-04-10,REACTIVATE,PAID,17.99,CARD
REC_00198,CUST_0108,,FREE,2024-03-19,NEW,PAID,0.0,
REC_00199,CUST_0109,,PREMIUM,2020-08-26,NEW,PAID,7.99,BANK_TRANSFER
REC_00200,CUST_0110,,BASIC,2023-08-25,NEW,PAID,7.99,BANK_TRANSFER
REC_00201,CUST_0110,BASIC,BASIC,2023-11-08,REACTIVATE,PAID,7.99,CARD
REC_00202,CUST_0111,,FREE,2022-05-26,NEW,PAID,0.0,
REC_00203,CUST_0111,FREE,FREE,2022-07-26,,PAID,0.0,
REC_00204,CUST_0112,,STANDARD,2020-12-12,NEW,PAID,13.99,BANK_TRANSFER
REC_00205,CUST_0113,,FREE,2021-05-27,NEW,PAID,0.0,
REC_00206,CUST_0113,FREE,BASIC,2022-02-20,UPGRADE,PAID,7.99,PAYPAL
REC_00207,CUST_0113,BASIC,STANDARD,2022-10-17,UPGRADE,PAID,13.99,PAYPAL
REC_00208,CUST_0114,,BASIC,2020-03-18,NEW,PAID,7.99,PAYPAL
REC_00209,CUST_0115,,STANDARD,2021-02-16,NEW,PAID,13.99,PAYPAL
REC_00210,CUST_0115,STANDARD,STANDARD,2021-10-10,REACTIVATE,PAID,13.99,CARD
REC_00211,CUST_0115,STANDARD,PREMIUM,2022-04-19,UPGRADE,PAID,17.99,BANK_TRANSFER
REC_00212,CUST_0115,PREMIUM,STANDARD,2022-08-05,,PAID,13.99,CARD
REC_00213,CUST_0116,,BASIC,2020-04-27,NEW,PAID,7.99,BANK_TRANSFER
REC_00214,CUST_0116,BASIC,BASIC,2020-10-06,REACTIVATE,PAID,7.99,PAYPAL
REC_00215,CUST_0117,,FREE,2024-01-26,NEW,PAID,0.0,
REC_00216,CUST_0118,,FREE,2019-07-07,NEW,PAID,0.0,
REC_00217,CUST_0118,FREE,FREE,2019-12-19,REACTIVATE,PAID,0.0,
REC_00218,CUST_0119,,FREE,2020-03-18,NEW,PAID,0.0,
REC_00219,CUST_0119,FREE,BASIC,2020-05-21,UPGRADE,FAILED,7.99,BANK_TRANSFER
REC_00220,CUST_0119,FREE,BASIC,2020-05-28,UPGRADE,PAID,7.99,BANK_TRANSFER
REC_00221,CUST_0119,BASIC,BASIC,2021-04-04,REACTIVATE,PAID,7.99,CARD
REC_00222,CUST_0120,,FREE,2023-08-06,NEW,PAID,0.0,
REC_00223,CUST_0121,,FREE,2019-07-07,NEW,PAID,0.0,
REC_00224,CUST_0121,FREE,FREE,2020-01-29,REACTIVATE,PAID,0.0,
REC_00225,CUST_0121,FREE,BASIC,2020-07-19,UPGRADE,PAID,7.99,BANK_TRANSFER
REC_00226,CUST_0122,,BASIC,2023-11-30,NEW,PAID,7.99,CARD
REC_00227,CUST_0123,,BASIC,2023-04-26,NEW,PAID,7.99,CARD
REC_00228,CUST_0123,BASIC,STANDARD,2024-05-21,UPGRADE,PAID,13.99,BANK_TRANSFER
REC_00229,CUST_0124,,BASIC,2024-07-30,NEW,PAID,7.99,PAYPAL
REC_00230,CUST_0125,,BASIC,2022-04-10,NEW,PAID,7.99,CARD
REC_00231,CUST_0125,BASIC,FREE,2022-09-07,CANCEL,PAID,0.0,
REC_00232,CUST_0126,,STANDARD,2023-11-08,NEW,PAID,13.99,BANK_TRANSFER
REC_00233,CUST_0126,STANDARD,STANDARD,2024-11-15,REACTIVATE,PAID,13.99,CARD
REC_00234,CUST_0127,,PREMIUM,2021-06-09,NEW,PAID,17.99,BANK_TRANSFER
REC_00235,CUST_0127,PREMIUM,STANDARD,2022-06-16,DOWNGRADE,PAID,13.99,BANK_TRANSFER
REC_00236,CUST_0127,STANDARD,STANDARD,2023-04-14,REACTIVATE,PAID,13.99,CARD
REC_00237,CUST_0127,STANDARD,PREMIUM,2024-01-10,UPGRADE,PAID,17.99,CARD
REC_00238,CUST_0128,,PREMIUM,2022-04-23,NEW,PAID,17.99,BANK_TRANSFER
REC_00239,CUST_0129,,BASIC,2021-07-12,NEW,PAID,7.99,CARD
REC_00240,CUST_0129,BASIC,FREE,2022-01-16,DOWNGRADE,PAID,7.99,
REC_00241,CUST_0130,,STANDARD,2019-10-26,NEW,PAID,13.99,CARD
REC_00242,CUST_0130,STANDARD,STANDARD,2020-05-12,,PAID,13.99,CARD
REC_00243,CUST_0130,STANDARD,PREMIUM,2020-11-02,UPGRADE,PAID,17.99,CARD
REC_00244,CUST_0130,PREMIUM,PREMIUM,2021-09-06,REACTIVATE,FAILED,17.99,BANK_TRANSFER
REC_00245,CUST_0130,PREMIUM,PREMIUM,2021-09-13,REACTIVATE,PAID,17.99,BANK_TRANSFER
REC_00246,CUST_0131,,BASIC,2020-04-09,NEW,PAID,7.99,BANK_TRANSFER
REC_00247,CUST_0131,BASIC,STANDARD,2020-09-13,UPGRADE,PAID,13.99,CARD
REC_00248,CUST_0131,STANDARD,PREMIUM,2021-04-08,UPGRADE,PAID,17.99,CARD
REC_00249,CUST_0131,PREMIUM,STANDARD,2021-06-20,,PAID,13.99,CARD
REC_00250,CUST_0132,,PREMIUM,2023-11-18,NEW,PAID,17.99,BANK_TRANSFER
REC_00251,CUST_0133,,FREE,2022-05-19,NEW,PAID,0.0,
REC_00252,CUST_0134,,STANDARD,2021-05-17,NEW,PAID,13.99,PAYPAL
REC_00253,CUST_0134,STANDARD,PREMIUM,2022-06-04,UPGRADE,PAID,17.99,PAYPAL
REC_00254,CUST_0134,PREMIUM,PREMIUM,2022-08-19,REACTIVATE,PAID,17.99,CARD
REC_00255,CUST_0135,,BASIC,2022-06-06,NEW,PAID,7.99,PAYPAL
REC_00256,CUST_0136,,PREMIUM,2019-05-08,NEW,PAID,17.99,PAYPAL
REC_00257,CUST_0137,,FREE,2020-10-14,NEW,PAID,0.0,
REC_00258,CUST_0137,FREE,BASIC,2021-08-04,,PAID,7.99,CARD
REC_00259,CUST_0138,,BASIC,2019-11-15,,PAID,7.99,BANK_TRANSFER
REC_00260,CUST_0138,BASIC,STANDARD,2020-03-21,UPGRADE,PAID,0.0,CARD
REC_00261,CUST_0138,STANDARD,PREMIUM,2020-10-04,UPGRADE,PAID,17.99,PAYPAL
REC_00262,CUST_0139,,FREE,2020-10-22,NEW,PAID,0.0,
REC_00263,CUST_0139,FREE,FREE,2021-07-01,REACTIVATE,PAID,0.0,
REC_00264,CUST_0139,FREE,FREE,2021-09-26,REACTIVATE,PAID,0.0,
REC_00265,CUST_0140,,STANDARD,2024-09-23,NEW,PAID,13.99,CARD
REC_00266,CUST_0141,,PREMIUM,2024-05-28,NEW,PAID,17.99,BANK_TRANSFER
REC_00267,CUST_0142,,FREE,2023-10-01,NEW,PAID,0.0,
REC_00268,CUST_0142,FREE,BASIC,2024-02-25,UPGRADE,FAILED,7.99,BANK_TRANSFER
REC_00269,CUST_0142,FREE,BASIC,2024-03-03,UPGRADE,PAID,7.99,BANK_TRANSFER
REC_00270,CUST_0143,,FREE,2023-05-13,NEW,PAID,0.0,
REC_00271,CUST_0143,FREE,BASIC,2024-04-16,UPGRADE,PAID,7.99,BANK_TRANSFER
REC_00272,CUST_0144,,STANDARD,2020-11-25,NEW,FAILED,13.99,BANK_TRANSFER
REC_00273,CUST_0144,,STANDARD,2020-12-02,NEW,PAID,13.99,BANK_TRANSFER
REC_00274,CUST_0145,,FREE,2019-10-24,NEW,PAID,0.0,
REC_00275,CUST_0145,FREE,BASIC,2020-01-04,UPGRADE,PAID,7.99,PAYPAL
REC_00276,CUST_0146,,BASIC,2019-02-09,NEW,PAID,7.99,PAYPAL
REC_00277,CUST_0147,,STANDARD,2024-07-10,NEW,PAID,13.99,CARD
REC_00278,CUST_0148,,STANDARD,2024-02-28,NEW,PAID,13.99,CARD
REC_00279,CUST_0149,,BASIC,2023-04-10,NEW,PAID,7.99,CARD
REC_00280,CUST_0149,BASIC,STANDARD,2024-04-11,UPGRADE,PAID,13.99,PAYPAL
REC_00281,CUST_0150,,BASIC,2021-11-21,NEW,PAID,7.99,CARD
REC_00282,CUST_0151,,FREE,2020-10-25,NEW,PAID,0.0,
REC_00283,CUST_0152,,FREE,2020-09-28,NEW,PAID,0.0,
REC_00284,CUST_0153,,STANDARD,2022-06-22,NEW,PAID,13.99,BANK_TRANSFER
REC_00285,CUST_0154,,STANDARD,2023-05-16,NEW,PAID,13.99,BANK_TRANSFER
REC_00286,CUST_0155,,FREE,2020-02-23,NEW,PAID,0.0,
REC_00287,CUST_0155,FREE,FREE,2021-01-26,REACTIVATE,PAID,0.0,
REC_00288,CUST_0155,FREE,BASIC,2021-06-04,UPGRADE,PAID,7.99,PAYPAL
REC_00289,CUST_0156,,BASIC,2023-12-20,NEW,FAILED,7.99,CARD
REC_00290,CUST_0156,,BASIC,2023-12-27,NEW,PAID,7.99,CARD
