log_id,customer_id,content_id,event_type,event_timestamp,device_code,session_id,duration_seconds,rating_given,quality_stream,ip_country,app_version
LOG_000025,CUST_1141,CNT_050,PLAY,1695774900,PC_WIN,SESS_00009,,,HD,IT,3.2.1
LOG_000026,CUST_1141,CNT_050,PAUSE,1695776121,PC_WIN,SESS_00009,1221,,HD,IT,3.2.1
LOG_000027,CUST_1141,CNT_050,RESUME,1695776310,PC_WIN,SESS_00009,,,HD,IT,3.2.1
LOG_000028,CUST_1141,CNT_050,STOP,1695777259,PC_WIN,SESS_00009,4507,,HD,IT,3.2.1
LOG_000029,CUST_1141,CNT_050,RATE,1695777277,PC_WIN,SESS_00009,,4,HD,IT,3.2.1
LOG_000030,CUST_1673,CNT_029,PLAY,27/09/2024 20:09:00,TAB_AND,SESS_00010,,,HD,TN,3.1.5
LOG_000031,CUST_1673,CNT_029,PAUSE,27/09/2024 20:19:18,TAB_AND,SESS_00010,618,,HD,TN,3.1.5
LOG_000032,CUST_1673,CNT_029,RESUME,27/09/2024 20:23:30,TAB_AND,SESS_00010,,,HD,TN,3.1.5
LOG_000033,CUST_1673,CNT_029,STOP,27/09/2024 20:25:00,TAB_AND,SESS_00010,1681,,HD,TN,3.1.5
LOG_000034,CUST_1673,CNT_029,RATE,27/09/2024 20:25:57,TAB_AND,SESS_00010,,4,HD,TN,3.1.5
LOG_000035,CUST_0086,CNT_037,PLAY,2024-01-31 08:31:00,MOB_AND,SESS_00011,,,4K,DE,3.2.0
LOG_000036,CUST_0086,CNT_037,PAUSE,2024-01-31 08:34:06,MOB_AND,SESS_00011,186,,4K,DE,3.2.0
LOG_000037,CUST_0086,CNT_037,RESUME,2024-01-31 08:40:12,MOB_AND,SESS_00011,,,4K,DE,3.2.0
LOG_000038,CUST_0086,CNT_037,STOP,2024-01-31 08:42:58,MOB_AND,SESS_00011,604,,4K,DE,3.2.0
LOG_000039,CUST_0086,CNT_037,RATE,2024-01-31 08:43:12,MOB_AND,SESS_00011,,3,4K,DE,3.2.0
LOG_000040,CUST_1988,CNT_008,PLAY,2022-07-25 23:05:00,MOB_AND,SESS_00012,,,SD,GB,3.2.1
LOG_000041,CUST_1988,CNT_008,STOP,2022-07-25 23:08:19,MOB_AND,SESS_00012,508,,SD,GB,3.2.1
LOG_000042,CUST_0835,CNT_004,PLAY,2021-06-20 06:42:00,MOB_IOS,SESS_00013,,,SD,BE,3.1.5
LOG_000043,CUST_0835,CNT_004,PAUSE,2021-06-20 06:49:59,MOB_IOS,SESS_00013,479,,SD,BE,3.1.5
LOG_000044,CUST_0835,CNT_004,RESUME,2021-06-20 06:52:42,MOB_IOS,SESS_00013,,,SD,BE,3.1.5
LOG_000045,CUST_0835,CNT_004,STOP,2021-06-20 06:54:05,MOB_IOS,SESS_00013,1588,,SD,BE,3.1.5
LOG_000046,CUST_1870,CNT_020,PLAY,2022-07-10 17:46:00,MOB_IOS,SESS_00014,,,HD,ES,3.1.0
LOG_000047,CUST_1870,CNT_020,PAUSE,2022-07-10 17:51:47,MOB_IOS,SESS_00014,347,,HD,ES,3.1.0
LOG_000048,CUST_1870,CNT_020,RESUME,2022-07-10 17:58:52,MOB_IOS,SESS_00014,,,HD,ES,3.1.0
LOG_000049,CUST_1870,CNT_020,STOP,2022-07-10 18:04:56,MOB_IOS,SESS_00014,-1384,,HD,ES,3.1.0
LOG_000050,CUST_1870,CNT_020,RATE,2022-07-10 18:05:28,MOB_IOS,SESS_00014,,5,HD,ES,3.1.0
LOG_000051,CUST_1945,CNT_019,PLAY,2021-12-21 20:50:00,MOB_IOS,SESS_00015,,,4K,CA,3.1.0
LOG_000052,CUST_1945,CNT_019,STOP,2021-12-21 20:51:37,MOB_IOS,SESS_00015,1984,,4K,CA,3.1.0
LOG_000053,CUST_1945,CNT_019,RATE,2021-12-21 20:51:51,MOB_IOS,SESS_00015,,10,4K,CA,3.1.0
LOG_000054,CUST_0590,CNT_023,PLAY,2023-06-13 19:12:00,PC_WIN,SESS_00016,,,HD,US,3.2.2
LOG_000055,CUST_0590,CNT_023,STOP,2023-06-13 19:35:23,PC_WIN,SESS_00016,2991,,HD,US,3.2.2
LOG_000056,CUST_0590,CNT_023,RATE,2023-06-13 19:35:55,PC_WIN,SESS_00016,,5,HD,US,3.2.2
LOG_000057,CUST_1692,CNT_024,PLAY,2024-02-29 13:29:00,MOB_IOS,SESS_00017,,,4k,ES,3.2.1
LOG_000058,CUST_1692,CNT_024,PAUSE,2024-02-29 13:32:10,MOB_IOS,SESS_00017,190,,4k,ES,3.2.1
LOG_000059,CUST_1692,CNT_024,RESUME,2024-02-29 13:34:49,MOB_IOS,SESS_00017,,,4k,ES,3.2.1
LOG_000060,CUST_1692,CNT_024,STOP,2024-02-29 13:43:00,MOB_IOS,SESS_00017,2067,,4k,ES,3.2.1
LOG_000061,CUST_1692,CNT_024,RATE,2024-02-29 13:43:55,MOB_IOS,SESS_00017,,7,4k,ES,3.2.1
LOG_000062,CUST_0540,CNT_011,PLAY,2024-12-11 20:23:00,MOB_AND,SESS_00018,,,HD,MA,3.2.1
LOG_000063,CUST_0540,CNT_011,PAUSE,2024-12-11 20:38:20,MOB_AND,SESS_00018,920,,HD,MA,3.2.1
LOG_000064,CUST_0540,CNT_011,RESUME,2024-12-11 20:40:05,MOB_AND,SESS_00018,,,HD,MA,3.2.1
LOG_000065,CUST_0540,CNT_011,STOP,2024-12-11 20:47:39,MOB_AND,SESS_00018,1855,,HD,MA,3.2.1
LOG_000066,CUST_0540,CNT_011,RATE,2024-12-11 20:48:15,MOB_AND,SESS_00018,,4,HD,MA,3.2.1
LOG_000067,CUST_1269,CNT_023,PLAY,2023-05-08 12:42:00,TV_LG,SESS_00019,,,SD,DZ,3.2.1
LOG_000068,CUST_1269,CNT_023,PAUSE,2023-05-08 12:46:31,TV_LG,SESS_00019,271,,SD,DZ,3.2.1
LOG_000069,CUST_1269,CNT_023,RESUME,2023-05-08 12:52:16,TV_LG,SESS_00019,,,SD,DZ,3.2.1
LOG_000070,CUST_1269,CNT_023,STOP,2023-05-08 12:53:40,TV_LG,SESS_00019,2756,,SD,DZ,3.2.1
LOG_000071,CUST_1269,CNT_023,RATE,2023-05-08 12:53:54,TV_LG,SESS_00019,,4,SD,DZ,3.2.1
LOG_000072,CUST_1522,CNT_034,PLAY,1660244880,TV_LG,SESS_00020,,,HD,ES,3.2.1
LOG_000073,CUST_1522,CNT_034,STOP,1660245115,TV_LG,SESS_00020,5520,,HD,ES,3.2.1
LOG_000074,CUST_1960,CNT_021,PLAY,2024-04-05 05:38:00,MOB_IOS,SESS_00021,,,HD,IT,3.2.1
LOG_000075,CUST_1960,CNT_021,STOP,2024-04-05 05:42:54,MOB_IOS,SESS_00021,945,,HD,IT,3.2.1
LOG_000076,CUST_1960,CNT_021,RATE,2024-04-05 05:43:00,MOB_IOS,SESS_00021,,4,HD,IT,3.2.1
LOG_000077,CUST_1847,CNT_003,PLAY,2022-10-25 12:23:00,TV_FIRE,SESS_00022,,,HD,FR,3.1.0
LOG_000078,CUST_1847,CNT_003,PAUSE,2022-10-25 12:34:10,TV_FIRE,SESS_00022,670,,HD,FR,3.1.0
LOG_000079,CUST_1847,CNT_003,RESUME,2022-10-25 12:35:54,TV_FIRE,SESS_00022,,,HD,FR,3.1.0
LOG_000080,CUST_1847,CNT_003,STOP,2022-10-25 12:48:15,TV_FIRE,SESS_00022,2269,,HD,FR,3.1.0
LOG_000081,CUST_1847,CNT_003,RATE,2022-10-25 12:48:32,TV_FIRE,SESS_00022,,2,HD,FR,3.1.0
LOG_000082,CUST_1430,CNT_017,PLAY,11/06/2024 21:47:00,TV_LG,SESS_00023,,,SD,FR,3.2.0
LOG_000083,CUST_1430,CNT_017,PAUSE,11/06/2024 21:51:41,TV_LG,SESS_00023,281,,SD,FR,3.2.0
LOG_000084,CUST_1430,CNT_017,RESUME,11/06/2024 21:54:09,TV_LG,SESS_00023,,,SD,FR,3.2.0
LOG_000085,CUST_1430,CNT_017,STOP,11/06/2024 21:57:00,TV_LG,SESS_00023,2102,,SD,FR,3.2.0
LOG_000086,CUST_1123,CNT_012,PLAY,2022-02-14 16:56:00,PC_MAC,SESS_00024,,,HD,ES,3.2.1
LOG_000087,CUST_1123,CNT_012,STOP,2022-02-14 17:01:49,PC_MAC,SESS_00024,5027,,HD,ES,3.2.1
LOG_000088,CUST_1123,CNT_012,RATE,2022-02-14 17:02:48,PC_MAC,SESS_00024,,3,HD,ES,3.2.1
LOG_000089,CUST_1771,CNT_014,PLAY,2021-12-31 15:07:00,TAB_AND,SESS_00025,,,HD,ES,3.2.1
LOG_000090,CUST_1771,CNT_014,PAUSE,2021-12-31 15:09:44,TAB_AND,SESS_00025,164,,HD,ES,3.2.1
LOG_000091,CUST_1771,CNT_014,RESUME,2021-12-31 15:17:30,TAB_AND,SESS_00025,,,HD,ES,3.2.1
LOG_000092,CUST_1771,CNT_014,STOP,2021-12-31 15:22:26,TAB_AND,SESS_00025,869,,HD,ES,3.2.1
LOG_000093,CUST_1771,CNT_014,RATE,2021-12-31 15:22:37,TAB_AND,SESS_00025,,3,HD,ES,3.2.1
LOG_000094,CUST_1595,CNT_035,PLAY,2022-06-07 20:24:00,TV_SAM,SESS_00026,,,HD,DZ,3.1.5
LOG_000095,CUST_1595,CNT_035,STOP,2022-06-07 20:50:44,TV_SAM,SESS_00026,4775,,HD,DZ,3.1.5
LOG_000096,CUST_1595,CNT_035,RATE,2022-06-07 20:51:06,TV_SAM,SESS_00026,,4,HD,DZ,3.1.5
LOG_000097,CUST_0005,CNT_047,PLAY,26/09/2021 00:45:00,MOB_AND,SESS_00027,,,4K,NL,3.1.8
LOG_000098,CUST_0005,CNT_047,STOP,26/09/2021 00:46:28,MOB_AND,SESS_00027,1679,,4K,NL,3.1.8
LOG_000099,CUST_0387,CNT_010,PLAY,2024-06-27 12:55:00,PC_MAC,SESS_00028,,,HD,FR,3.2.0
LOG_000100,CUST_0387,CNT_010,PAUSE,2024-06-27 13:00:50,PC_MAC,SESS_00028,350,,HD,FR,3.2.0
LOG_000101,CUST_0387,CNT_010,RESUME,2024-06-27 13:10:32,PC_MAC,SESS_00028,,,HD,FR,3.2.0
LOG_000102,CUST_0387,CNT_010,STOP,2024-06-27 13:19:40,PC_MAC,SESS_00028,3009,,HD,FR,3.2.0
LOG_000103,CUST_1859,CNT_018,PLAY,2024-10-24 14:33:00,MOB_IOS,SESS_00029,,,HD,GB,3.2.1
LOG_000104,CUST_1859,CNT_018,STOP,2024-10-24 14:36:10,MOB_IOS,SESS_00029,1280,,HD,GB,3.2.1
LOG_000105,CUST_1629,CNT_021,PLAY,2022-03-14 20:47:00,PC_WIN,SESS_00030,,,HD,ES,3.1.8
LOG_000106,CUST_1629,CNT_021,STOP,2022-03-14 20:58:30,PC_WIN,SESS_00030,3008,,HD,ES,3.1.8
LOG_000107,CUST_1629,CNT_021,RATE,2022-03-14 20:58:40,PC_WIN,SESS_00030,,5,HD,ES,3.1.8
LOG_000108,CUST_1690,CNT_009,PLAY,2021-11-27 22:10:00,PC_MAC,SESS_00031,,,HD,FR,3.1.5
LOG_000109,CUST_1690,CNT_009,PAUSE,2021-11-27 22:14:15,PC_MAC,SESS_00031,255,,HD,FR,3.1.5
LOG_000110,CUST_1690,CNT_009,RESUME,2021-11-27 22:23:10,PC_MAC,SESS_00031,,,HD,FR,3.1.5
LOG_000111,CUST_1690,CNT_009,STOP,2021-11-27 22:26:34,PC_MAC,SESS_00031,645,,HD,FR,3.1.5
LOG_000112,CUST_1690,CNT_009,RATE,2021-11-27 22:26:40,PC_MAC,SESS_00031,,4,HD,FR,3.1.5
LOG_000113,CUST_0691,CNT_049,PLAY,2021-11-14 12:47:00,MOB_IOS,SESS_00032,,,hd,MA,3.2.0
LOG_000114,CUST_0691,CNT_049,STOP,2021-11-14 12:52:13,MOB_IOS,SESS_00032,1246,,hd,MA,3.2.0
LOG_000115,CUST_1274,CNT_019,PLAY,2024-01-17 20:14:00,MOB_IOS,SESS_00033,,,4K,SN,3.2.1
LOG_000116,CUST_1274,CNT_019,STOP,2024-01-17 20:17:11,MOB_IOS,SESS_00033,728,,4K,SN,3.2.1
LOG_000117,CUST_1762,CNT_006,PLAY,1682272320,PC_MAC,SESS_00034,,,HD,FR,3.2.1
LOG_000118,CUST_1762,CNT_006,STOP,1682272496,PC_MAC,SESS_00034,1729,,HD,FR,3.2.1
LOG_000119,CUST_1989,CNT_026,PLAY,2023-10-12 08:46:00,TAB_AND,SESS_00035,,,SD,DZ,3.1.5
LOG_000120,CUST_1989,CNT_026,STOP,2023-10-12 08:52:17,TAB_AND,SESS_00035,1888,,SD,DZ,3.1.5
LOG_000121,CUST_1030,CNT_043,PLAY,2022-06-08 16:44:00,MOB_IOS,SESS_00036,,,HD,FR,3.2.1
LOG_000122,CUST_1030,CNT_043,PAUSE,2022-06-08 16:47:46,MOB_IOS,SESS_00036,226,,HD,FR,3.2.1
LOG_000123,CUST_1030,CNT_043,RESUME,2022-06-08 16:51:02,MOB_IOS,SESS_00036,,,HD,FR,3.2.1
LOG_000124,CUST_1030,CNT_043,STOP,2022-06-08 16:54:56,MOB_IOS,SESS_00036,511,,HD,FR,3.2.1
LOG_000125,CUST_1030,CNT_043,RATE,2022-06-08 16:55:17,MOB_IOS,SESS_00036,,3,HD,FR,3.2.1
LOG_000126,CUST_0241,CNT_025,PLAY,2024-06-07 22:11:00,MOB_IOS,SESS_00037,,,4K,FR,3.2.1
LOG_000127,CUST_0241,CNT_025,STOP,2024-06-07 22:22:26,MOB_IOS,SESS_00037,2398,,4K,FR,3.2.1
LOG_000128,CUST_0241,CNT_025,RATE,2024-06-07 22:22:59,MOB_IOS,SESS_00037,,5,4K,FR,3.2.1
LOG_000129,CUST_1524,CNT_016,PLAY,2023-08-20 02:29:00,TV_SAM,SESS_00038,,,HD,CA,3.2.1
LOG_000130,CUST_1524,CNT_016,PAUSE,2023-08-20 02:30:46,TV_SAM,SESS_00038,106,,HD,CA,3.2.1
LOG_000131,CUST_1524,CNT_016,RESUME,2023-08-20 02:33:39,TV_SAM,SESS_00038,,,HD,CA,3.2.1
LOG_000132,CUST_1524,CNT_016,STOP,2023-08-20 02:39:20,TV_SAM,SESS_00038,-2794,,HD,CA,3.2.1
LOG_000133,CUST_0754,CNT_039,PLAY,2024-07-13 19:39:00,TAB_IOS,SESS_00039,,,4K,MA,3.2.0
LOG_000134,CUST_0754,CNT_039,PAUSE,2024-07-13 19:42:33,TAB_IOS,SESS_00039,213,,4K,MA,3.2.0
LOG_000135,CUST_0754,CNT_039,RESUME,2024-07-13 19:52:11,TAB_IOS,SESS_00039,,,4K,MA,3.2.0
LOG_000136,CUST_0754,CNT_039,STOP,2024-07-13 20:02:50,TAB_IOS,SESS_00039,2040,,4K,MA,3.2.0
LOG_000137,CUST_0754,CNT_039,RATE,2024-07-13 20:03:43,TAB_IOS,SESS_00039,,2,4K,MA,3.2.0
LOG_000138,CUST_1366,CNT_040,PLAY,2023-01-04 09:10:00,TAB_IOS,SESS_00040,,,4K,JP,3.1.0
LOG_000139,CUST_1366,CNT_040,PAUSE,2023-01-04 09:20:24,TAB_IOS,SESS_00040,624,,4K,JP,3.1.0
LOG_000140,CUST_1366,CNT_040,RESUME,2023-01-04 09:26:51,TAB_IOS,SESS_00040,,,4K,JP,3.1.0
LOG_000141,CUST_1366,CNT_040,STOP,2023-01-04 09:33:12,TAB_IOS,SESS_00040,1899,,4K,JP,3.1.0
LOG_000142,CUST_1366,CNT_040,RATE,2023-01-04 09:34:10,TAB_IOS,SESS_00040,,4,4K,JP,3.1.0
LOG_000143,CUST_1486,CNT_046,PLAY,2024-03-29 07:38:00,TV_SAM,SESS_00041,,,4K,TN,3.2.1
LOG_000144,CUST_1486,CNT_046,PAUSE,2024-03-29 07:46:46,TV_SAM,SESS_00041,526,,4K,TN,3.2.1
LOG_000145,CUST_1486,CNT_046,RESUME,2024-03-29 07:51:26,TV_SAM,SESS_00041,,,4K,TN,3.2.1
LOG_000146,CUST_1486,CNT_046,STOP,2024-03-29 07:54:55,TV_SAM,SESS_00041,1471,,4K,TN,3.2.1
LOG_000147,CUST_1486,CNT_046,RATE,2024-03-29 07:55:04,TV_SAM,SESS_00041,,5,4K,TN,3.2.1
LOG_000148,CUST_0725,CNT_017,PLAY,2022-01-22 08:56:00,TV_SAM,SESS_00042,,,HD,MA,3.2.0
LOG_000149,CUST_0725,CNT_017,STOP,2022-01-22 09:25:53,TV_SAM,SESS_00042,4599,,HD,MA,3.2.0
LOG_000150,CUST_0725,CNT_017,RATE,2022-01-22 09:26:33,TV_SAM,SESS_00042,,3,HD,MA,3.2.0
LOG_000151,CUST_1007,CNT_031,PLAY,24/11/2023 16:45:00,MOB_IOS,SESS_00043,,,HD,ES,3.2.0
LOG_000152,CUST_1007,CNT_031,PAUSE,24/11/2023 16:46:20,MOB_IOS,SESS_00043,80,,HD,ES,3.2.0
LOG_000153,CUST_1007,CNT_031,RESUME,24/11/2023 16:48:28,MOB_IOS,SESS_00043,,,HD,ES,3.2.0
LOG_000154,CUST_1007,CNT_031,STOP,24/11/2023 16:58:32,MOB_IOS,SESS_00043,1878,,HD,ES,3.2.0
LOG_000155,CUST_1007,CNT_031,RATE,24/11/2023 16:59:11,MOB_IOS,SESS_00043,,3,HD,ES,3.2.0
LOG_000156,CUST_0961,CNT_006,PLAY,05/05/2023 05:15:00,MOB_IOS,SESS_00044,,,sd,MA,3.2.2
LOG_000157,CUST_0961,CNT_006,PAUSE,05/05/2023 05:23:41,MOB_IOS,SESS_00044,521,,sd,MA,3.2.2
LOG_000158,CUST_0961,CNT_006,RESUME,05/05/2023 05:26:11,MOB_IOS,SESS_00044,,,sd,MA,3.2.2
LOG_000159,CUST_0961,CNT_006,STOP,05/05/2023 05:35:19,MOB_IOS,SESS_00044,1516,,sd,MA,3.2.2
LOG_000160,CUST_1419,CNT_013,PLAY,2021-02-11 18:03:00,MOB_IOS,SESS_00045,,,SD,FR,3.2.2
LOG_000161,CUST_1419,CNT_013,STOP,2021-02-11 18:04:07,MOB_IOS,SESS_00045,180,,SD,FR,3.2.2
LOG_000162,CUST_1419,CNT_013,RATE,2021-02-11 18:04:32,MOB_IOS,SESS_00045,,4,SD,FR,3.2.2
LOG_000163,CUST_1710,CNT_031,PLAY,1708638360,TV_AND,SESS_00046,,,HD,CA,3.2.2
LOG_000164,CUST_1710,CNT_031,STOP,1708639355,TV_AND,SESS_00046,6758,,HD,CA,3.2.2
LOG_000165,CUST_1710,CNT_031,RATE,1708639387,TV_AND,SESS_00046,,4,HD,CA,3.2.2
LOG_000166,CUST_1658,CNT_040,PLAY,25/02/2022 12:50:00,MOB_IOS,SESS_00047,,,4K,NL,3.2.2
LOG_000167,CUST_1658,CNT_040,STOP,25/02/2022 12:54:42,MOB_IOS,SESS_00047,1462,,4K,NL,3.2.2
LOG_000168,CUST_1658,CNT_040,RATE,25/02/2022 12:55:38,MOB_IOS,SESS_00047,,5,4K,NL,3.2.2
LOG_000169,CUST_0127,CNT_001,PLAY,03/05/2021 20:18:00,MOB_IOS,SESS_00048,,,HD,DZ,3.2.1
LOG_000170,CUST_0127,CNT_001,STOP,03/05/2021 20:19:06,MOB_IOS,SESS_00048,196,,HD,DZ,3.2.1
LOG_000171,CUST_0127,CNT_001,RATE,03/05/2021 20:19:50,MOB_IOS,SESS_00048,,6,HD,DZ,3.2.1
LOG_000172,CUST_1158,CNT_041,PLAY,2022-01-25 20:55:00,MOB_AND,SESS_00049,,,SD,MA,3.2.1
LOG_000173,CUST_1158,CNT_041,PAUSE,2022-01-25 20:58:13,MOB_AND,SESS_00049,193,,SD,MA,3.2.1
LOG_000174,CUST_1158,CNT_041,RESUME,2022-01-25 21:00:59,MOB_AND,SESS_00049,,,SD,MA,3.2.1
LOG_000175,CUST_1158,CNT_041,STOP,2022-01-25 21:03:09,MOB_AND,SESS_00049,1126,,SD,MA,3.2.1
LOG_000176,CUST_1684,CNT_027,PLAY,2021-12-24 17:34:00,MOB_IOS,SESS_00050,,,HD,IT,3.2.1
LOG_000177,CUST_1684,CNT_027,PAUSE,2021-12-24 17:41:57,MOB_IOS,SESS_00050,477,,HD,IT,3.2.1
LOG_000178,CUST_1684,CNT_027,RESUME,2021-12-24 17:47:31,MOB_IOS,SESS_00050,,,HD,IT,3.2.1
LOG_000179,CUST_1684,CNT_027,STOP,2021-12-24 17:54:03,MOB_IOS,SESS_00050,1599,,HD,IT,3.2.1
LOG_000180,CUST_0900,CNT_030,PLAY,07/02/2023 17:42:00,MOB_IOS,SESS_00051,,,HD,MA,3.2.1
LOG_000181,CUST_0900,CNT_030,STOP,07/02/2023 17:48:31,MOB_IOS,SESS_00051,865,,HD,MA,3.2.1
LOG_000182,CUST_9667,CNT_015,PLAY,2022-06-22 11:41:00,PC_WIN,SESS_00052,,,4K,DE,3.2.1
LOG_000183,CUST_9667,CNT_015,PAUSE,2022-06-22 11:58:11,PC_WIN,SESS_00052,1031,,4K,DE,3.2.1
LOG_000184,CUST_9667,CNT_015,RESUME,2022-06-22 12:04:28,PC_WIN,SESS_00052,,,4K,DE,3.2.1
LOG_000185,CUST_9667,CNT_015,STOP,2022-06-22 12:18:38,PC_WIN,SESS_00052,2281,,4K,DE,3.2.1
LOG_000186,CUST_1383,CNT_027,PLAY,2021-06-06 17:28:00,MOB_IOS,SESS_00053,,,HD,DZ,3.2.2
LOG_000187,CUST_1383,CNT_027,STOP,2021-06-06 17:31:57,MOB_IOS,SESS_00053,622,,HD,DZ,3.2.2
LOG_000188,CUST_0091,CNT_001,PLAY,2024-11-30 20:16:00,PC_MAC,SESS_00054,,,HD,FR,3.2.1
LOG_000189,CUST_0091,CNT_001,PAUSE,2024-11-30 20:26:08,PC_MAC,SESS_00054,608,,HD,FR,3.2.1
LOG_000190,CUST_0091,CNT_001,RESUME,2024-11-30 20:28:13,PC_MAC,SESS_00054,,,HD,FR,3.2.1
LOG_000191,CUST_0091,CNT_001,STOP,2024-11-30 20:51:52,PC_MAC,SESS_00054,4247,,HD,FR,3.2.1
LOG_000192,CUST_9279,CNT_034,PLAY,12/12/2023 19:08:00,TV_AND,SESS_00055,,,HD,DE,3.2.1
LOG_000193,CUST_9279,CNT_034,STOP,12/12/2023 19:09:28,TV_AND,SESS_00055,6232,,HD,DE,3.2.1
LOG_000194,CUST_1882,CNT_021,PLAY,2022-05-07 17:28:00,TV_AND,SESS_00056,,,HD,FR,3.2.2
LOG_000195,CUST_1882,CNT_021,PAUSE,2022-05-07 17:41:57,TV_AND,SESS_00056,837,,HD,FR,3.2.2
LOG_000196,CUST_1882,CNT_021,RESUME,2022-05-07 17:46:54,TV_AND,SESS_00056,,,HD,FR,3.2.2
LOG_000197,CUST_1882,CNT_021,STOP,2022-05-07 18:12:08,TV_AND,SESS_00056,5326,,HD,FR,3.2.2
LOG_000198,CUST_1477,CNT_010,PLAY,2024-12-28 21:37:00,PC_WIN,SESS_00057,,,HD,MA,3.1.8
LOG_000199,CUST_1477,CNT_010,STOP,2024-12-28 21:51:57,PC_WIN,SESS_00057,2071,,HD,MA,3.1.8
LOG_000200,CUST_1477,CNT_010,RATE,2024-12-28 21:52:31,PC_WIN,SESS_00057,,4,HD,MA,3.1.8
LOG_000201,CUST_0450,CNT_047,PLAY,2022-12-12 19:40:00,MOB_AND,SESS_00058,,,HD,MA,3.2.1
LOG_000202,CUST_0450,CNT_047,PAUSE,2022-12-12 19:43:01,MOB_AND,SESS_00058,181,,HD,MA,3.2.1
LOG_000203,CUST_0450,CNT_047,RESUME,2022-12-12 19:52:55,MOB_AND,SESS_00058,,,HD,MA,3.2.1
LOG_000204,CUST_0450,CNT_047,STOP,2022-12-12 19:56:12,MOB_AND,SESS_00058,468,,HD,MA,3.2.1
LOG_000205,CUST_0450,CNT_047,RATE,2022-12-12 19:56:49,MOB_AND,SESS_00058,,5,HD,MA,3.2.1
LOG_000206,CUST_0097,CNT_042,PLAY,2024-09-26 23:36:00,TV_AND,SESS_00059,,,HD,MA,3.2.2
LOG_000207,CUST_0097,CNT_042,STOP,2024-09-27 00:07:29,TV_AND,SESS_00059,8390,,HD,MA,3.2.2
LOG_000208,CUST_0097,CNT_042,RATE,2024-09-27 00:08:19,TV_AND,SESS_00059,,4,HD,MA,3.2.2
LOG_000209,CUST_1721,CNT_013,PLAY,2023-09-23 20:11:00,MOB_AND,SESS_00060,,,HD,FR,3.2.1
LOG_000210,CUST_1721,CNT_013,PAUSE,2023-09-23 20:12:07,MOB_AND,SESS_00060,67,,HD,FR,3.2.1
